,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,dia_da_semana,mes,tipo_faixa,tipo_perfil_de_terreno,iluminacao
493,653.74,santo_antonio_do_amparo,2023-10-05,1,MG,63.80635838150289,67.0,65.20885093167702,65.05882352941177,2595,30,1288,204,0,1,Dia_de_semana,10,Acostamento,Perfil_Ondulado,0
494,920.8,camanducaia,2023-03-05,1,MG,65.78599773242631,62.30487804878049,64.38381439532334,64.86305732484077,1764,41,5474,157,0,0,Dia_de_semana,3,Acostamento,Perfil_Ondulado,0
495,643.224,santo_antonio_do_amparo,2023-12-16,1,MG,62.247081712062254,68.3169014084507,63.21179164281626,62.70316622691293,3855,71,3494,379,0,0,Dia_de_semana,12,Acostamento,Perfil_Plano,0
496,643.224,santo_antonio_do_amparo,2023-06-05,1,MG,63.16208578078245,64.49,63.55591286307054,63.06348246674728,9023,100,4820,827,0,0,Dia_de_semana,6,Acostamento,Perfil_Plano,0
497,78.2,sao_paulo,2023-08-30,1,SP,62.75140623510344,70.71461538461539,65.92387588745727,62.30515759312321,10489,650,19015,1396,0,0,Dia_de_semana,8,Terceira_faixa,Perfil_Montanhoso,0
498,643.224,santo_antonio_do_amparo,2023-12-09,1,MG,62.876613849765256,65.5,63.03928866832093,62.06426332288401,3408,73,2418,319,0,1,Dia_de_semana,12,Acostamento,Perfil_Plano,0
499,653.74,santo_antonio_do_amparo,2023-04-26,1,MG,62.62212012251964,62.160919540229884,63.182523113629586,64.32409177820267,7509,87,3353,523,0,1,Dia_de_semana,4,Acostamento,Perfil_Ondulado,0
500,70.2,mairipora,2023-03-05,0,SP,59.6676267281106,65.33862433862434,64.62203913491246,60.066326530612244,1736,189,1942,196,0,1,Dia_de_semana,3,Terceira_faixa,Perfil_Montanhoso,0
501,528.35,brumadinho,2023-01-31,0,MG,52.50566620879121,65.95454545454545,65.29098994586234,50.0920177383592,2912,99,2586,451,0,1,Dia_de_semana,1,Terceira_faixa,Perfil_Montanhoso,0
502,78.2,sao_paulo,2023-09-03,1,SP,64.60382059800665,69.21305595408896,65.18361846730724,62.0916955017301,5418,697,25602,578,0,1,Dia_de_semana,9,Terceira_faixa,Perfil_Montanhoso,0
503,493.29,betim,2023-06-07,1,MG,61.31067064083457,65.1734419487504,63.20546433151819,60.75667906662158,16775,6322,47563,2957,0,0,Dia_de_semana,6,Terceira_faixa,Perfil_Plano,1
504,76.4,sao_paulo,2023-06-23,0,SP,49.479461433135555,54.385643564356435,59.24269948237133,52.44805194805195,8764,1010,10239,308,0,0,Dia_de_semana,6,Terceira_faixa,Perfil_Montanhoso,0
505,70.2,mairipora,2023-09-01,0,SP,55.0031328320802,67.21140939597315,62.48537095088819,53.0,3192,149,957,168,0,0,Dia_de_semana,9,Terceira_faixa,Perfil_Montanhoso,0
506,653.74,santo_antonio_do_amparo,2023-10-27,1,MG,63.694732476150975,68.1829268292683,65.58962011771001,63.72802197802198,4822,82,3738,364,0,1,Dia_de_semana,10,Acostamento,Perfil_Ondulado,0
507,78.2,sao_paulo,2023-01-03,1,SP,62.88457430576747,70.2447033898305,65.51315069855318,61.41619797525309,6554,472,20113,889,0,1,Dia_de_semana,1,Terceira_faixa,Perfil_Montanhoso,0
508,528.35,brumadinho,2023-09-07,0,MG,52.614050689195196,61.30487804878049,65.85017203628402,48.394557823129254,2249,123,3197,294,0,0,Dia_de_semana,9,Terceira_faixa,Perfil_Montanhoso,0
509,78.2,sao_paulo,2023-08-28,1,SP,60.05514705882353,65.95734597156398,65.24491710186078,58.697513812154696,9656,633,19723,1448,0,1,Dia_de_semana,8,Terceira_faixa,Perfil_Montanhoso,0
510,483.7,betim,2023-06-07,1,MG,55.026941362916006,61.40616215000562,57.38389462053924,55.01746349842542,20823,8893,69691,6986,0,0,Dia_de_semana,6,Terceira_faixa,Perfil_Montanhoso,0
511,75.65,sao_paulo,2023-11-17,1,SP,57.58749319295698,70.68656716417911,64.79932677369239,59.74528301886792,5509,268,9655,318,0,0,Dia_de_semana,11,Terceira_faixa,Perfil_Plano,0
