,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,mes,iluminacao,dia_da_semana_Final_de_Semana,tipo_faixa_Terceira_faixa,tipo_perfil_de_terreno_Perfil_Ondulado,tipo_perfil_de_terreno_Perfil_Plano
20,78.2,sao_paulo,2023-05-20,1,SP,0.9601840927829526,0.9133405561854416,0.9576656572731603,0.7300272234696684,0.5007338726824518,-0.049474487232548964,1.5939104227424434,0.3488882141690449,0,0,5,0,0,1,0,0
21,920.8,camanducaia,2023-05-09,1,MG,1.2352948325386006,0.28027162958737223,0.5622543926728444,1.248036465710704,-1.1825298899021028,-0.6074617421933408,-0.9304390778096113,-0.7656091343025477,0,0,5,0,0,0,1,0
22,653.74,santo_antonio_do_amparo,2023-08-25,1,MG,0.9543524208572989,-0.09774214094566944,0.5450510549014104,1.187183443153694,-0.5230830007337374,-0.6100450165218629,-0.9391666476881336,-0.5040434300694189,0,0,8,0,0,0,1,0
23,76.4,sao_paulo,2023-06-12,0,SP,-1.293030465419159,-1.3083337128329922,-0.11462847863523046,-0.5185094886611351,0.29424979737162377,-0.010725372304716199,-0.4866141251798007,-0.6791787276863834,0,0,6,0,0,1,0,0
24,75.65,sao_paulo,2023-11-02,1,SP,-0.18462605524030257,0.98659684874261,0.508049197058144,0.3734756029170048,-0.46448616855093483,-0.4363198179287461,0.30527271976135517,-0.547258633377501,0,1,11,0,0,1,0,1
25,643.224,santo_antonio_do_amparo,2023-11-05,1,MG,0.7630504557820884,0.6981413218724865,0.4240868492934723,0.8316501123146007,-0.8558292977717948,-0.5926079148043382,-0.8537325462167269,-0.5688662350315421,0,0,11,0,0,0,0,1
26,76.4,sao_paulo,2023-11-04,0,SP,-1.5589116226484943,-1.795308959683668,-0.415645257050817,-1.7050634221207508,-0.8941962712248204,-0.23417860172188515,-0.48092919434149717,-0.8474905721494402,0,1,11,0,0,1,0,0
27,75.65,sao_paulo,2023-07-05,1,SP,-0.29432647815779556,0.795624121369444,0.37632666156662614,-0.05259471513889517,0.5307298701093627,-0.31878083598098667,0.2826130658565678,-0.45969098456901875,0,0,7,0,0,1,0,1
28,78.2,sao_paulo,2023-11-14,1,SP,0.5183927920944937,0.9513158558448862,0.9650588554828753,0.3512455032755877,0.9804373044011887,-0.17153419925522218,0.3630027920770856,0.7253153798262869,0,1,11,0,0,1,0,0
29,528.35,brumadinho,2023-07-26,0,MG,-1.4242094819050717,-0.176255922977893,0.6521089917017671,-1.7791020270948146,-1.0925418976213703,-0.604232649282688,-1.0167539432137132,-0.6280028290320756,0,0,7,0,0,1,0,0
30,923.38,camanducaia,2023-03-09,1,MG,-0.38645752043434534,-1.0199108694468029,-0.7322606751021478,0.2021820414486721,0.38888833188908667,-0.5428798839802862,-0.7349094847513401,-0.05255827971919204,0,0,3,0,0,0,0,1
31,76.4,sao_paulo,2023-06-05,0,SP,-1.2944454183799108,-0.9651004734613221,-0.07843206076022247,-0.8484858542244952,0.3942364554613266,0.07387686195438534,-0.44241578964820133,-0.5040434300694189,0,0,6,0,0,1,0,0
32,59.795,mairipora,2023-05-12,1,SP,0.21086172654677768,0.4605214390886486,-0.12624406987911543,-0.35085690663916763,1.7824233131253397,-0.5428798839802862,0.398313418833309,0.47057312874706575,0,0,5,0,0,0,0,0
33,59.795,mairipora,2023-06-06,1,SP,0.39543919151462337,0.17219735719140705,0.30249436512745675,0.06851416095541912,4.067932295366476,-0.49056857882771193,0.9322965703917082,1.2734661165235397,0,1,6,0,0,0,0,0
34,920.8,camanducaia,2023-05-11,1,MG,1.1990471632095527,0.5175204055250292,0.5710830912412603,1.2725975263308988,-1.2092705077633024,-0.604232649282688,-0.9147454659179565,-0.7451387748408246,0,0,5,0,0,0,1,0
35,643.224,santo_antonio_do_amparo,2023-04-08,1,MG,0.7775818143031433,-0.5145789473712941,0.03275197261587836,0.6849797876349689,-1.0832408131479097,-0.625544662492996,-1.0599914453641908,-0.7098842668789681,0,1,4,0,0,0,0,1
36,75.65,sao_paulo,2023-09-02,1,SP,0.4041574953137163,0.809962443182529,0.5740651025074002,0.5725254794905542,-1.1083537412262536,-0.5086514991273672,-0.35754217431578217,-0.7985891578797684,0,1,9,0,0,1,0,1
37,923.38,camanducaia,2023-01-10,1,MG,0.6154950506530708,-0.07679423527924174,0.13296362231930567,0.562274554242554,0.2756476284247023,-0.5667751715191164,-0.5360970443075695,0.009990040858295302,0,1,1,0,0,0,0,1
38,59.795,mairipora,2023-02-12,1,SP,0.5132143512395382,-1.2526768717589336,-0.7045827758990967,-0.09654252766564018,0.7160539782430676,-0.31878083598098667,1.140236927956135,-0.2606736009133772,0,1,2,0,0,0,0,0
39,493.29,betim,2023-05-09,1,MG,0.5324138903102662,0.47954678248757576,0.253740057804215,0.5347343380937846,0.8641737484829297,2.1702039795501378,1.0560839376595572,1.1517812019455187,0,0,5,1,0,1,0,1
40,920.8,camanducaia,2023-05-02,1,MG,1.2089231430492176,-0.21101301225698094,0.5285519116821459,1.3223097230516172,-1.21810653801309,-0.5919620962222076,-0.8368378925986698,-0.7838050093796349,0,1,5,0,0,0,1,0
41,70.2,mairipora,2023-05-08,0,SP,-0.3905361671971775,0.3970693827658678,0.1503693068253667,-0.6501998365679504,-0.9934853479790136,-0.5590253485335498,-1.1347763101948318,-0.5870621101086293,0,0,5,0,0,1,0,0
42,653.74,santo_antonio_do_amparo,2023-06-04,1,MG,0.9064845510254621,-0.6515282046548085,0.20965288652517128,1.1497298744028919,0.042887989476347685,-0.5951911891328604,-0.8389196982577669,-0.14922386606621793,0,0,6,0,0,0,1,0
